x,y,z,v_opt,s_opt
0.7722727,2.9947036,0,19.4314817,20.59762884
0.9702624,3.0227908,0,19.4836246,20.79760087
1.1683177,3.0505149,0,19.5356158,20.99758719
1.3664082,3.0778738,0,19.5874566,21.19755807
1.5645512,3.1048721,0,19.6391482,21.39753196
1.7627538,3.1315129,0,19.6906918,21.59751697
1.9609897,3.1577949,0,19.7420884,21.79748751
2.1592772,3.1837227,0,19.7933393,21.99746296
2.3576189,3.2092987,0,19.8444456,22.19744687
2.5559919,3.2345224,0,19.8954084,22.39741707
2.7544154,3.2593983,0,19.9462288,22.59739381
2.9528881,3.2839284,0,19.9969078,22.79737665
3.1513903,3.3081127,0,20,22.99734666
3.3499417,3.3319556,0,20,23.19732451
3.5485377,3.3554589,0,20,23.39730645
3.7471615,3.3786229,0,20,23.59727641
3.9458328,3.4014521,0,20,23.79725506
4.1445448,3.423948,0,20,23.99723637
4.3432827,3.4461111,0,20,24.19720626
4.5420664,3.467946,0,20,24.39718556
4.7408871,3.4894539,0,20,24.59716621
4.9397321,3.5106358,0,20,24.79713623
5.138621,3.531496,0,20,24.99711608
5.3375434,3.5520357,0,20,25.19709608
5.5364887,3.5722561,0,20,25.39706632
5.7354757,3.5921615,0,20,25.59704645
5.9344933,3.611753,0,20,25.79702603
6.1335322,3.6310321,0,20,25.99699644
6.3326107,3.6500028,0,20,26.19697678
6.5317171,3.6686662,0,20,26.39695599
6.7308433,3.6870241,0,20,26.59692662
6.930007,3.7050803,0,20,26.79690714
7.129196,3.722836,0,20,26.99688594
7.3284035,3.7402931,0,20,27.19685689
7.5276462,3.7574553,0,20,27.39683737
7.7269121,3.7743238,0,20,27.59681598
7.9261951,3.7909007,0,20,27.79678725
8.1255111,3.8071894,0,20,27.99676772
8.3248481,3.8231915,0,20,28.19674599
8.5242011,3.8389088,0,20,28.39671762
8.7235848,3.8543449,0,20,28.59669795
8.9229878,3.8695013,0,20,28.79667613
9.1224054,3.88438,0,20,28.99664802
9.3218516,3.8989844,0,20,29.1966282
9.5213154,3.9133161,0,20,29.39660621
9.7207927,3.9273772,0,20,29.59657848
9.9202965,3.9411709,0,20,29.79655856
10.1198162,3.954699,0,20,29.99653636
10.3193484,3.9679636,0,20,30.19650898
10.518905,3.9809679,0,20,30.39648885
10.7184761,3.9937136,0,20,30.59646654
10.9180587,4.006203,0,20,30.79643954
11.1176636,4.0184391,0,20,30.99641913
11.3172817,4.0304239,0,20,31.19639668
11.5169104,4.0421594,0,20,31.39637003
11.7165595,4.0536488,0,20,31.59634945
11.9162205,4.064894,0,20,31.79632688
12.1158913,4.0758973,0,20,31.99630063
12.3155805,4.0866615,0,20,32.19627974
12.5152806,4.0971887,0,20,32.39625712
12.7149896,4.1074813,0,20,32.59623117
12.9147153,4.1175419,0,20,32.7962101
13.1144508,4.1273729,0,20,32.99618739
13.3141945,4.1369764,0,20,33.19616182
13.513953,4.1463552,0,20,33.39614037
13.7137206,4.1555116,0,20,33.5961177
13.9134955,4.1644478,0,20,33.79609237
14.1132837,4.1731667,0,20,33.99607073
14.3130801,4.1816703,0,20,34.19604801
14.5128831,4.1899612,0,20,34.39602295
14.7126979,4.1980419,0,20,34.59600108
14.9125201,4.2059147,0,20,34.79597831
15.1123483,4.2135821,0,20,34.99595355
15.3121869,4.2210467,0,20,35.19593152
15.5120321,4.2283107,0,20,35.39590869
15.7118827,4.2353767,0,20,35.59588417
15.9117421,4.2422471,0,20,35.79586162
16.1116068,4.2489243,0,20,35.99583783
16.3114781,4.2554109,0,20,36.19581436
16.5113557,4.2617095,0,20,36.39579118
16.7112391,4.2678228,0,20,36.59576804
16.9111281,4.2737537,0,20,36.79574501
17.1110222,4.2795049,0,20,36.99572182
17.3109213,4.285079,0,20,37.19569863
17.5108255,4.2904789,0,20,37.39567574
17.7107338,4.2957073,0,20,37.5956524
17.9106465,4.3007669,0,20,37.79562912
18.1105639,4.3056605,0,20,37.99560641
18.3104845,4.3103909,0,20,38.19558296
18.510409,4.3149607,0,20,38.39555968
18.7103377,4.3193728,0,20,38.59553706
18.9102689,4.3236299,0,20,38.79551358
19.1102035,4.3277348,0,20,38.99549031
19.3101418,4.3316902,0,20,39.19546773
19.510082,4.3354988,0,20,39.3954442
19.7100252,4.3391635,0,20,39.59542099
19.9099716,4.3426871,0,20,39.79539843
20.1099194,4.3460721,0,20,39.99537488
20.3098697,4.3493215,0,20,40.19535158
20.5098229,4.352438,0,20,40.39532907
20.7097771,4.3554243,0,20,40.59530557
20.9097333,4.3582832,0,20,40.79528221
21.1096922,4.3610176,0,20,40.9952598
21.3096516,4.36363,0,20,41.19523626
21.5096127,4.3661234,0,20,41.39521291
21.7095761,4.3685005,0,20,41.59519044
21.9095398,4.370764,0,20,41.79516695
22.1095048,4.3729168,0,20,41.99514354
22.309472,4.3749615,0,20,42.19512119
22.509439,4.376901,0,20,42.3950976
22.7094072,4.378738,0,20,42.59507423
22.9093773,4.3804754,0,20,42.79505188
23.109347,4.3821158,0,20,42.99502831
23.3093177,4.383662,0,20,43.19500499
23.50929,4.3851169,0,20,43.39498258
23.7092618,4.3864831,0,20,43.59495905
23.9092343,4.3877635,0,20,43.79493565
24.1092084,4.3889608,0,20,43.99491333
24.3091817,4.3900778,0,20,44.19488975
24.5091557,4.3911173,0,20,44.39486645
24.709131,4.3920821,0,20,44.59484408
24.9091054,4.3929748,0,20,44.79482047
25.1090804,4.3937984,0,20,44.99479717
25.3090566,4.3945555,0,20,45.1947748
25.5090318,4.3952489,0,20,45.3947512
25.7090075,4.3958815,0,20,45.5947279
25.9089843,4.3964559,0,20,45.79470553
26.1089601,4.396975,0,20,45.994682
26.3089362,4.3974416,0,20,46.19465865
26.5089133,4.3978583,0,20,46.39463618
26.7088895,4.398228,0,20,46.59461272
26.9088659,4.3985535,0,20,46.79458939
27.1088433,4.3988375,0,20,46.99456699
27.3088196,4.3990828,0,20,47.19454344
27.5087962,4.3992921,0,20,47.39452015
27.7087737,4.3994684,0,20,47.59449773
27.9087502,4.3996142,0,20,47.79447428
28.1087268,4.3997324,0,20,47.99445091
28.3087043,4.3998258,0,20,48.19442844
28.5086809,4.3998971,0,20,48.39440505
28.7086576,4.3999492,0,20,48.59438176
28.908635,4.3999847,0,20,48.79435916
29.1086116,4.4000065,0,20,48.99433576
29.3085883,4.4000173,0,20,49.19431246
29.5085658,4.4000199,0,20,49.39428996
29.7085424,4.4000171,0,20,49.59426656
29.9085191,4.4000114,0,20,49.79424326
30.1084965,4.4000046,0,20,49.99422066
30.3084731,4.3999981,0,20,50.19419726
30.5084499,4.3999923,0,20,50.39417406
30.7084272,4.3999871,0,20,50.59415136
30.9084039,4.3999826,0,20,50.79412806
31.1083807,4.3999788,0,20,50.99410486
31.308358,4.3999757,0,20,51.19408216
31.5083347,4.3999732,0,20,51.39405886
31.7083114,4.3999714,0,20,51.59403556
31.9082887,4.3999702,0,20,51.79401286
32.1082654,4.3999696,0,20,51.99398956
32.3082422,4.3999696,0,20,52.19396636
32.5082195,4.3999702,0,20,52.39394366
32.7081962,4.3999714,0,20,52.59392036
32.908173,4.3999732,0,20,52.79389716
