# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-37.0475078, -58.4590918, 4.9988122, 5.0011878, -0.5365827, -0.8438477, -3.7907198, 320.4771829, -2.4332199, 0.0403424, 10.2447614, 5.2370269
-36.7917248, -58.6184193, 4.9983262, 5.0016738, -0.5208695, -0.8536363, -3.7197097, 320.7196390, -2.4179149, 0.0364911, 10.4472073, 5.2345135
-36.5335138, -58.7727821, 4.9978402, 5.0021598, -0.5053856, -0.8628936, -3.6455402, 320.9654889, -2.4107146, 0.0354977, 10.5469374, 5.2332573
-36.2730726, -58.9222524, 4.9973932, 5.0026068, -0.4901701, -0.8716268, -3.5682001, 321.2147916, -2.4036797, 0.0348405, 10.6457096, 5.2320013
-36.0104877, -59.0669788, 4.9969888, 5.0030112, -0.4752668, -0.8798417, -3.4876704, 321.4677395, -2.3968169, 0.0338371, 10.7435505, 5.2307457
-35.7458362, -59.2071169, 4.9965844, 5.0034156, -0.4607031, -0.8875543, -3.4039458, 321.7244500, -2.3836366, 0.0321209, 10.9365377, 5.2282353
-35.4791950, -59.3428222, 4.9961801, 5.0038199, -0.4465062, -0.8947806, -3.3170367, 321.9850205, -2.3772862, 0.0312867, 11.0317312, 5.2269805
-35.2106412, -59.4742501, 4.9961376, 5.0038624, -0.4327002, -0.9015379, -3.2269671, 322.2495185, -2.3711187, 0.0304862, 11.1260877, 5.2257261
-34.9402518, -59.6015563, 4.9962301, 5.0037699, -0.4193071, -0.9078445, -3.1337744, 322.5179859, -2.3592437, 0.0288989, 11.3123734, 5.2232181
-34.6681038, -59.7248961, 4.9963226, 5.0036774, -0.4063465, -0.9137191, -3.0375078, 322.7904391, -2.3535317, 0.0281197, 11.4043422, 5.2219646
-34.3942742, -59.8444251, 4.9964151, 5.0035849, -0.3938359, -0.9191807, -2.9382275, 323.0668708, -2.3479986, 0.0273283, 11.4955535, 5.2207113
